BBL.ID,DDays
1311-53431,25.1422492
1311-53432,15.0046444
1311-53434,21.570754
1311-53435,15.6832296
1311-53436,21.6434106
1311-53437,29.5505697
1311-53438,13.8415945
1311-53439,21.0229962
1311-53450,23.1321025
1311-53452,12.4227657
1311-53453,22.0796333
1311-53454,10.327282
1311-53455,3.3993667
1311-53456,9.184904
1311-53457,19.3392154
1311-53458,4.0340816
1311-53459,23.127545
1311-53460,15.2549086
1311-53461,0.3622624
1311-53463,3.8849301
1311-53464,8.7653616
1311-53465,26.2700789
1311-53466,15.2643394
1311-53467,8.7236123
1311-53468,18.8344007
1311-53469,15.2211011
1311-53471,15.6900519
1311-53472,7.6510858
1311-53473,14.9800846
1311-53477,16.2999949
