BBL.ID,Proj,Year,Month,Day,Hour,Minute,id,Species,Location,Age
2461-05360,Pau,2013,8,5,12,22,NA,SESA,STAGE,HY
2461-05361,Pau,2013,8,5,12,22,55,SESA,STAGE,HY
2461-05362,Pau,2013,8,5,12,50,NA,SESA,STAGE,HY
2461-05363,Pau,2013,8,5,12,55,50,SESA,STAGE,HY
2461-05364,Pau,2013,8,5,13,10,56,SESA,STAGE,AHY
2461-05365,Pau,2013,8,5,13,10,51,SESA,STAGE,HY
2461-05366,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05367,Pau,2013,8,5,13,10,NA,LESA,STAGE,AHY
2461-05368,Pau,2013,8,5,13,10,NA,SESA,STAGE,HY
2461-05369,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05370,Pau,2013,8,5,13,10,NA,SESA,STAGE,AHY
2461-05371,Pau,2013,8,5,13,10,57,SESA,STAGE,HY
2461-05372,Pau,2013,8,5,13,10,NA,SESA,STAGE,HY
2461-05373,Pau,2013,8,5,13,10,37,SESA,STAGE,AHY
2461-05374,Pau,2013,8,5,13,10,NA,SESA,STAGE,NA
2461-05375,Pau,2013,8,5,13,10,28,SESA,STAGE,NA
2461-05376,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05377,Pau,2013,8,6,10,45,49,SESA,STAGE,NA
2461-05378,Pau,2013,8,6,10,45,31,SESA,STAGE,NA
2461-05379,Pau,2013,8,6,10,45,53,SESA,STAGE,NA
2461-05380,Pau,2013,8,6,10,45,40,SESA,STAGE,NA
2461-05381,Pau,2013,8,6,10,45,38,SESA,STAGE,NA
2461-05382,Pau,2013,8,6,10,45,27,SESA,STAGE,NA
2461-05383,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05384,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05385,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05386,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05387,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05388,Pau,2013,8,6,10,45,26,SESA,STAGE,NA
2461-05389,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05390,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05391,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05392,Pau,2013,8,6,10,45,NA,SESA,STAGE,NA
2461-05399,Pau,2013,8,6,10,45,34,SESA,STAGE,HY
2461-05400,Pau,2013,8,6,10,45,54,SESA,STAGE,NA
2461-05398,Pau,2013,8,6,10,45,29,SESA,STAGE,NA
2461-05393,Pau,2013,8,6,15,10,33,SESA,NELSN,NA
2461-05394,Pau,2013,8,6,15,10,48,SESA,NELSN,NA
2461-05395,Pau,2013,8,6,15,10,42,SESA,NELSN,NA
2461-05396,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2461-05397,Pau,2013,8,6,15,10,39,SESA,NELSN,NA
2441-22581,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22582,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22583,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22584,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22585,Pau,2013,8,6,15,10,NA,SESA,NELSN,NA
2441-22586,Pau,2013,8,6,15,10,47,SESA,NELSN,NA
2461-14701,Pau,2013,8,30,7,25,NA,SESA,BFB,HY
2461-14702,Pau,2013,8,30,7,25,45,SESA,BFB,NA
2461-14703,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14704,Pau,2013,8,30,7,25,30,SESA,BFB,NA
2461-14705,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14706,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14707,Pau,2013,8,30,7,25,NA,SESA,BFB,NA
2461-14708,Pau,2013,8,30,7,25,43,SESA,BFB,NA
2461-14709,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14710,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14711,Pau,2013,8,30,8,0,NA,SESA,BFB,AHY
2461-14712,Pau,2013,8,30,8,0,52,SESA,BFB,NA
2461-14713,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14714,Pau,2013,8,30,8,0,35,SESA,BFB,NA
2461-14715,Pau,2013,8,30,8,0,32,SESA,BFB,NA
2461-14716,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14717,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14718,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14719,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14720,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14721,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14722,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14723,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14724,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14725,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14726,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14727,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
2461-14729,Pau,2013,8,30,8,0,NA,SESA,BFB,NA
1151-40301,Pau,2014,8,11,10,10,NA,LESA,BF,HY
1151-40302,Pau,2014,8,11,10,10,NA,SESA,BF,AHY
1151-40303,Pau,2014,8,11,10,24,488,SESA,BF,AHY
1151-40304,Pau,2014,8,11,10,24,482,SESA,BF,AHY
1151-40305,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40306,Pau,2014,8,11,10,30,NA,LESA,BF,HY
1151-40307,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40308,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40309,Pau,2014,8,11,10,30,NA,LESA,BF,HY
1151-40310,Pau,2014,8,11,10,30,NA,SESA,BF,AHY
1151-40311,Pau,2014,8,11,10,30,486,SESA,BF,AHY
1151-40312,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40313,Pau,2014,8,11,10,45,484,SESA,BF,HY
1151-40314,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40315,Pau,2014,8,11,10,45,NA,SESA,BF,AHY
1151-40316,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40317,Pau,2014,8,11,11,0,485,SESA,BF,AHY
1151-40318,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40319,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40320,Pau,2014,8,11,11,0,483,SESA,BF,AHY
1151-40321,Pau,2014,8,11,11,0,NA,SESA,BF,AHY
1151-40322,Pau,2014,8,11,11,30,NA,SESA,BF,AHY
1151-40323,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40324,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40325,Pau,2014,8,11,11,36,NA,SESA,BF,AHY
1151-40326,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
