"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"60","Holbt - Addison","08/27/2013","Addison-UPPER BIRCH","SESA","1311-53490",NA,"HY","3",22.58,97,16.21,19.54,30,"1605","16:11",0.49,8.6515
"61","Holbt - Addison","08/27/2013","Addison-UPPER BIRCH","SESA","1311-53491",NA,"AHY","3",22.3,98,16.77,20.21,35,"1605","16:17",0.51,13.3381
"62","Holbt - Addison","08/27/2013","Addison-UPPER BIRCH","SESA","1311-53492",NA,"HY","3",22.17,102.5,17.62,20.4,37,"1605","17:21",0.53,13.9278
"63","Holbt - Addison","08/27/2013","Addison-UPPER BIRCH","SESA","1311-53493",NA,"AHY","2",21.02,99,16.1,18.71,35,"1605","16:26",0.53,13.0247
"64","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53494",NA,"AHY","2",22.27,NA,14.83,17.02,34,"1719",NA,NA,NA
"65","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53495",NA,"AHY","3",20.98,97,16.21,18.83,27,"1719",NA,NA,5.6515
"66","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53496",NA,"AHY","3+",21.06,96,14.53,17.8,34,"1719",NA,0.53,12.9649
"67","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53497",NA,"HY","2",23.11,98,15.65,18.14,31,"1719",NA,NA,9.3381
"68","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53498",NA,"AHY","3",20.79,95,15.83,18.8,34,"1719",NA,0.49,13.2783
"69","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53499",NA,"HY","2",21,95.5,15.9,18.23,32,"1719",NA,NA,11.1216
"70","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1311-53500",NA,"AHY","4",21.11,96,14.57,16.57,35,"1719",NA,0.54,13.9649
"71","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","1461-15028",NA,"AHY","2",21.1,96,19.2,15.7,34.4,"17:00","1711",NA,13.3649
"72","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82501",NA,"HY","2",20.93,97,16.18,18.88,27,"1719",NA,NA,5.6515
"73","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82502",NA,"HY","1",21.17,97,16.5,19.02,24,"1719",NA,0.51,2.6515
"74","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82503",NA,"HY","3",20.8,94,15.31,18.15,25,"1719",NA,NA,4.5917
"75","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82504",NA,"HY","1",20.53,97,15.66,17.84,23,"1719",NA,NA,1.6515
"76","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82505",NA,"AHY","4",21.11,97,16.34,19.3,37,"1719",NA,NA,15.6515
"77","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82506",NA,"AHY","4",22.47,100.5,18.87,21.33,39,"1719",NA,0.53,16.5546
"78","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82507",NA,"AHY","2",22.39,99,18.25,21.65,30,"1719",NA,NA,8.0247
"79","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82508",NA,"HY","1",22.74,100,16.88,20.16,36,"1719",NA,NA,13.7113
"80","Holbt - Addison","08/27/2013","Addison-DRY LEDGE","SESA","1711-82509",NA,"AHY","6",22.57,99,15.77,19.18,41,"1719",NA,NA,19.0247
"81","Holbt - Addison","08/29/2013","Addison-MILL RIVER","LESA","1711-82510",NA,NA,"2",20.38,95,NA,19.24,32,"1415","14:26",0.45,NA
"82","Holbt - Addison","08/29/2013","Addison-MILL RIVER","LESA","1711-82511",NA,"AHY",NA,18.75,90,NA,15.86,25,"1453",NA,NA,NA
"83","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SEPL","1711-82512",NA,"HY",NA,21.16,124,NA,11.08,41,"1452",NA,NA,NA
"84","Holbt - Addison","08/29/2013","Addison-MILL RIVER","LESA","1711-82513",NA,"HY",NA,17.32,88,NA,18.21,24,"1452",NA,NA,NA
"85","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SEPL","1711-82514",NA,"HY",NA,21.56,119,NA,11.43,49,"1452",NA,NA,NA
"86","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SEPL","1711-82515",NA,"HY",NA,23.22,120,NA,12.63,46,"1452",NA,NA,NA
"87","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SEPL","1711-82516",NA,"HY",NA,21.43,118,NA,12.49,55,"1452",NA,NA,NA
"88","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SEPL","1711-82517",NA,"HY",NA,21.17,115,NA,12.53,40,"1452",NA,NA,NA
"89","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82521",NA,"HY","1",21.08,95,NA,17.37,26,"1525","15:42",0.5,5.2783
"90","Holbt - Addison","09/15/2013","Addison-NARROWS I LEDGE","SESA","1711-82525",NA,"AHY","1",23.14,97,16.98,19.39,31,"0820","8:29",NA,9.6515
"91","Holbt - Addison","09/15/2013","Addison-NARROWS I LEDGE","SESA","1711-82528",NA,"HY","1",23.08,95.5,17.77,20.8,30,"0820","8:32",0.56,9.1216
"92","Holbt - Addison","09/15/2013","Addison-NARROWS I LEDGE","SESA","1711-82529",NA,"AHY","1",22.04,72.5,17.11,19.15,22,"0820","8:41",0.47,8.3298
"93","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82531",NA,NA,"0.5",21.11,98,NA,22.02,30,"1510","15:30",0.48,8.3381
"95","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82532",NA,NA,"1",19.3,90,NA,17.26,27,"1510","15:35",0.41,7.8453
"96","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82533",NA,"HY","3",18.22,95,NA,18.64,29,"1510","15:26",0.48,8.2783
"97","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82534",NA,"HY","1",17.26,98,NA,18.75,28,"1510","15:54",0.49,6.3381
"98","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82535",NA,"HY","2",17.92,95,NA,18.66,25,"1525","16:00",0.46,4.2783
"99","Holbt - Addison","08/29/2013","Addison-MILL RIVER","LESA","1711-82536",NA,"HY",NA,17.12,90,NA,18.02,21,NA,NA,NA,NA
"100","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82537",NA,"HY","2",18.77,92,NA,17.83,26,"1525","16:06",0.48,6.2185
"101","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82538",NA,"HY","2",17.83,94,NA,19,25,"1525","16:15",0.5,4.5917
"102","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82539",NA,"HY","4",22.22,90.2,NA,17.68,41,"1525","16:25",0.53,21.78262
"103","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82540",NA,"HY","2",20.7,96,NA,16.9,30,"1525","16:31",0.48,8.9649
"104","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82541",NA,"HY",NA,18.28,99,NA,19.48,26,NA,NA,NA,4.0247
"105","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82542",NA,"HY",NA,17.46,95,NA,17.95,27,NA,NA,NA,6.2783
"106","Holbt - Addison","08/29/2013","Addison-MILL RIVER","SESA","1711-82543",NA,"HY",NA,19.44,95,NA,17.01,26,NA,NA,NA,5.2783
"107","Holbt - Addison","09/15/2013","Addison-NARROWS I LEDGE","SESA","1711-82544",NA,"AHY","1",21.66,98,17.32,20.36,26,"0820","8:49",NA,4.3381
"108","Holbt - Addison","09/15/2013","Addison-NARROWS I LEDGE","SESA","1711-82545",NA,"AHY","2",20.55,96,16.77,18.68,29,"0820","8:54",0.5,7.9649
"109","Holbt - Addison","09/15/2013","Addison-DRY LEDGE","SESA","1711-82546",NA,"AHY","1",21.4,92.5,14.28,16.61,27,"0928","9:44",0.53,7.0618
"110","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00627",NA,"AHY","2",22,96,20.7,18.9,34,"10:05","1008",NA,12.9649
"111","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00629","380437","AHY","2",20.8,97,20.3,16.2,28,"11:29","1136",NA,6.6515
"112","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00630",NA,"AHY","2",23.1,96,20.1,16.4,39,"11:35","1147",NA,17.9649
"113","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00631",NA,"AHY","2",23.1,101,19.5,15.6,35,"13:38",NA,NA,12.3979
"114","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00632",NA,"AHY","2",21.4,92,18.7,15.1,32,"13:38","1357",NA,12.2185
"115","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00633",NA,"AHY","3",23.4,99,20.4,15.9,34,"13:38",NA,NA,12.0247
"116","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00634",NA,"AHY","2",21.5,94,20.3,15.9,37,"13:50","1401",NA,16.5917
"117","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00635",NA,"AHY","2",21.5,96,20,15.9,32,"13:50","1420",NA,10.9649
"118","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00636",NA,"AHY","3",20.2,96,19.6,15.1,37,"13:50","1411",NA,15.9649
"119","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00637",NA,"AHY","1",21.6,101,21.1,18,27,"13:50","1417",NA,4.3979
"120","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00638","380438","AHY","1",21,91,18.6,14.1,29,"13:50","1419",NA,9.5319
"121","Obrien - RCNWR","8/4/2014","RCNWR-Oxcart Lane","SESA","1971-00639",NA,"AHY","2",21.7,95,18.7,14.9,31,"13:50","1422",NA,10.2783
"122","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00640",NA,"AHY","2",21,95,20.6,16.3,33,"13:02","1305",NA,12.2783
"123","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00641","380439","AHY","1",21.2,96,20.1,16.3,28.3,"13:28","1333",NA,7.2649
"124","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00642",NA,"AHY","1",22.9,100,23.6,19.2,32.7,"13:17",NA,NA,10.4113
