BBL.ID,Date,Year,Proj,Location,Species,Age,Mass,WC ,EC,Tarsus,Culmen,Fat,Nanotag,Julian
1311-53485,08/20/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,34,95,17.85,21.94,NA,1,NA,232
1311-53486,08/20/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,37,93.5,17.85,22.69,NA,2,NA,232
1311-53487,08/20/2013,2013,Holbt,NARROWS LEDGE,SESA,HY,24,93,17.56,22.45,NA,1,NA,232
1311-53488,08/27/2013,2013,Holbt,RASPBERRY LEDGE,SESA,NA,27,96,21.31,20.8,18.06,1,NA,239
1311-53489,08/27/2013,2013,Holbt,RASPBERRY LEDGE,SESA,HY,28,94,16.2,21.21,13.12,2,NA,239
1311-53490,08/27/2013,2013,Holbt,UPPER BIRCH,SESA,HY,30,97,19.54,22.58,16.21,3,NA,239
1311-53491,08/27/2013,2013,Holbt,UPPER BIRCH,SESA,AHY,35,98,20.21,22.3,16.77,3,NA,239
1311-53492,08/27/2013,2013,Holbt,UPPER BIRCH,SESA,HY,37,102.5,20.4,22.17,17.62,3,NA,239
1311-53493,08/27/2013,2013,Holbt,UPPER BIRCH,SESA,AHY,35,99,18.71,21.02,16.1,2,NA,239
1311-53495,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,27,97,18.83,20.98,16.21,3,NA,239
1311-53496,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,34,96,17.8,21.06,14.53,3,NA,239
1311-53497,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,31,98,18.14,23.11,15.65,2,NA,239
1311-53498,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,34,95,18.8,20.79,15.83,3,NA,239
1311-53499,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,32,95.5,18.23,21,15.9,2,NA,239
1311-53500,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,35,96,16.57,21.11,14.57,4,NA,239
1711-82501,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,27,97,18.88,20.93,16.18,2,NA,239
1711-82502,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,24,97,19.02,21.17,16.5,1,NA,239
1711-82503,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,25,94,18.15,20.8,15.31,3,NA,239
1711-82504,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,23,97,17.84,20.53,15.66,1,NA,239
1711-82505,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,37,97,19.3,21.11,16.34,4,NA,239
1711-82506,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,39,100.5,21.33,22.47,18.87,4,NA,239
1711-82507,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,30,99,21.65,22.39,18.25,2,NA,239
1711-82508,08/27/2013,2013,Holbt,DRY LEDGE,SESA,HY,36,100,20.16,22.74,16.88,1,NA,239
1711-82509,08/27/2013,2013,Holbt,DRY LEDGE,SESA,AHY,41,99,19.18,22.57,15.77,6,NA,239
1711-82521,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,26,95,17.37,21.08,NA,1,NA,241
1711-82525,09/15/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,31,97,19.39,23.14,16.98,1,NA,258
1711-82528,09/15/2013,2013,Holbt,NARROWS LEDGE,SESA,HY,30,95.5,20.8,23.08,17.77,1,NA,258
1711-82529,09/15/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,22,92.5,19.15,22.04,17.11,1,NA,258
1711-82531,08/29/2013,2013,Holbt,MILL RIVER,SESA,NA,30,98,22.02,21.11,NA,0.5,NA,241
1711-82532,08/29/2013,2013,Holbt,MILL RIVER,SESA,NA,27,90,17.26,19.3,NA,1,NA,241
1711-82533,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,29,95,18.64,18.22,NA,3,NA,241
1711-82534,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,28,98,18.75,17.26,NA,1,NA,241
1711-82535,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,25,95,18.66,17.92,NA,2,NA,241
1711-82537,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,26,92,17.83,18.77,NA,2,NA,241
1711-82538,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,25,94,19,17.83,NA,2,NA,241
1711-82539,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,41,90.2,17.68,22.22,NA,4,NA,241
1711-82540,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,30,96,16.9,20.7,NA,2,NA,241
1711-82541,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,26,99,19.48,18.28,NA,NA,NA,241
1711-82542,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,27,95,17.95,17.46,NA,NA,NA,241
1711-82543,08/29/2013,2013,Holbt,MILL RIVER,SESA,HY,26,95,17.01,19.44,NA,NA,NA,241
1711-82544,09/15/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,26,98,20.36,21.66,17.32,1,NA,258
1711-82545,09/15/2013,2013,Holbt,NARROWS LEDGE,SESA,AHY,29,96,18.68,20.55,16.77,2,NA,258
1711-82546,09/15/2013,2013,Holbt,DRY LEDGE,SESA,AHY,27,92.5,16.61,21.4,14.28,1,NA,258
2571-56201,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,24,97,20.5,20.8,17.14,1,10,217
2571-56202,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,23,98.5,19.22,21.53,16.75,0,7,217
2571-56203,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,27,98,19.81,21.54,16.75,1,8,217
2571-56204,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,26,94.5,18.82,21.67,16.63,1,11,217
2571-56205,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,26,97.5,18.02,21.51,15.47,1,31,217
2571-56206,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,28,100,19.12,24.04,16.55,1,9,217
2571-56207,08/05/2014,2014,Holbt,LEDGE,SESA,AHY,21,94,17.67,20.9,15.05,1,30,217
2571-56208,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,25,96,18.86,29.97,15.89,1,NA,220
2571-56209,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,34,100.5,19.17,21.16,16.17,3,NA,220
2571-56210,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,39,103,21.36,21.43,17.89,3,NA,220
2571-56211,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,30,95.5,18.53,21.16,15.83,1,175,220
2571-56212,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,26,98,18.51,21.31,15.28,1,176,220
2571-56213,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,33,102,19.49,22.61,16.4,2,NA,220
2571-56214,08/08/2014,2014,Holbt,DRY LEDGE,SESA,AHY,27,97,19.3,21.87,16.86,3,409,220
2571-56215,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,29,99.5,20.22,22.66,16.67,1,179,220
2571-56216,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,37,104,21.89,23.62,18.08,2,NA,220
2571-56217,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,30,101,20.44,22.27,17.52,1,177,220
2571-56218,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,31,97,18.7,21.35,15.52,3,NA,220
2571-56219,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,29,101,19.2,21.07,16.09,2,178,220
2571-56220,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,24,96.5,16.54,22.07,14.36,1,180,220
2571-56221,08/08/2014,2014,Holbt,RASPBERRY LEDGE,SESA,AHY,25,97.5,20.34,23.64,17.21,1,412,220
2571-56224,08/18/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,25,94,19.54,20.97,15.81,2,414,230
2571-56225,08/18/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,23,96.5,19.59,20.64,15.7,1,189,230
2571-56226,08/18/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,27,94,19.65,20.98,16.43,1,411,230
2571-56227,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,29,99.5,20.16,21.57,16.99,1,188,231
2571-56228,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,33,96,20.7,21.4,16.91,2,190,231
2571-56229,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,31,97,19.52,22.71,15.57,2,186,231
2571-56230,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,27.8,101,20.84,21.45,17.17,1,416,231
2571-56231,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,30,99.5,17.11,22,14.69,1,407,231
2571-56232,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,27,100.5,22.27,22.27,19.6,1,182,231
2571-56233,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,37,99,19.54,22.33,16.47,3,NA,231
2571-56234,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,24,96.5,18.26,23.36,14.92,0.5,181,231
2571-56235,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,25,102.5,20.88,22.65,17.56,0.5,187,231
2571-56236,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,31,98,19.49,22.29,16.32,3,29,231
2571-56237,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,27,99.5,21.09,21.28,18.06,2,410,231
2571-56238,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,32,99,20.96,22.1,18.28,3,408,231
2571-56239,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,33,97,20.09,21.87,16.65,2,415,231
2571-56240,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,29,99,18.84,22.29,16.13,1,27,231
2571-56241,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,26,96,17.72,19.87,15.31,0.5,NA,231
2571-56242,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,35,96.5,17.83,21.11,14.75,3,NA,231
2571-56243,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,27,98,19.44,22.34,16.34,1,413,231
2571-56244,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,25,101.5,20.06,22.22,17.21,1,28,231
2571-56245,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,AHY,28,99,18.96,22.44,15.57,2,NA,231
2571-56246,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,25,91.5,17,21.79,14.17,0.5,NA,231
2571-56247,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,27,99,21.42,22.48,17.86,2,NA,231
2571-56248,08/19/2014,2014,Holbt,LOWER WASS COVE,SESA,HY,28,96.5,20.22,21.81,16.96,0.5,NA,231
2571-56249,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,33,99.5,20.39,22.09,17.68,4,NA,253
2571-56250,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,28,95,16.99,20.88,13.14,2,192,253
